PO #,Invoice #,Invoice Date,Total Amount
PO00776176,SAJ/2017/7812,10/13/2017,$97.50,
PO00777746,SAJ/2017/7811,10/13/2017,$85.00,
PO00779878,SAJ/2017/7810,10/13/2017,$99.00,
PO00777641,SAJ/2017/7809,10/13/2017,$133.75,
PO00777493,SAJ/2017/7808,10/13/2017,$122.50,
PO00780128,SAJ/2017/7807,10/13/2017,$135.00,
PO00777739,SAJ/2017/7806,10/13/2017,$122.50,
PO00777673,SAJ/2017/7805,10/13/2017,$152.00,
PO00777728,SAJ/2017/7804,10/13/2017,$257.50,
PO00777983,SAJ/2017/7803,10/13/2017,$122.50,
PO00776827,SAJ/2017/7802,10/13/2017,$92.75,
PO00778068,SAJ/2017/7801,10/13/2017,$97.50,
PO00778559,SAJ/2017/7800,10/13/2017,$96.25,
PO00776960,SAJ/2017/7795,10/13/2017,$92.75,
PO00777864,SAJ/2017/7794,10/13/2017,$97.50,
PO00777373,SAJ/2017/7793,10/13/2017,$97.50,
PO00777284,SAJ/2017/7792,10/13/2017,$97.50,
PO00777896,SAJ/2017/7791,10/13/2017,$125.00,
PO00777570,SAJ/2017/7790,10/13/2017,$180.00,
