PO #,Invoice #,Invoice Date,Total Amount
PO00766662,SAJ/2017/7185,09/28/2017,$92.75,
PO00766567,SAJ/2017/7184,09/28/2017,$106.00,
PO00767472,SAJ/2017/7183,09/28/2017,$175.00,
PO00766413,SAJ/2017/7182,09/28/2017,$92.75,
PO00766888,SAJ/2017/7181,09/28/2017,$106.50,
PO00767641,SAJ/2017/7180,09/28/2017,$341.00,
PO00766314,SAJ/2017/7179,09/28/2017,$122.50,
PO00766398,SAJ/2017/7178,09/28/2017,$92.75,
PO00765752,SAJ/2017/7177,09/28/2017,$92.75,
PO00767707,SAJ/2017/7176,09/28/2017,$92.75,
PO00766503,SAJ/2017/7175,09/28/2017,$92.75,
PO00767498,SAJ/2017/7174,09/28/2017,$195.00,
