Customer ID,Customer Name,PO #,Invoice #,Invoice Date,Total Amount
C000000101864,ZORCH INTERNATIONAL INC,PO00668660,SAJ/2017/4431,06/28/2017,$411.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00715932,SAJ/2017/4398,06/28/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00715791,SAJ/2017/4397,06/28/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00713701,SAJ/2017/4396,06/28/2017,$705.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00716242,SAJ/2017/4395,06/28/2017,$361.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00715561,SAJ/2017/4394,06/28/2017,$239.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00715510,SAJ/2017/4393,06/28/2017,$127.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00715550,SAJ/2017/4392,06/28/2017,$133.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00715740,SAJ/2017/4391,06/28/2017,$122.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00714907,SAJ/2017/4390,06/28/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00715185,SAJ/2017/4389,06/28/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00715229,SAJ/2017/4388,06/28/2017,$175.00,
