PO #,Invoice #,Invoice Date,Total Amount
PO00779432,SAJ/2017/7879,10/17/2017,$255.00,
PO00779168,SAJ/2017/7878,10/17/2017,$96.25,
PO00781292,SAJ/2017/7877,10/17/2017,$92.75,
PO00779974,SAJ/2017/7876,10/17/2017,$92.75,
PO00779801,SAJ/2017/7874,10/17/2017,$99.00,
PO00780033,SAJ/2017/7873,10/17/2017,$97.50,
PO00780209,SAJ/2017/7872,10/17/2017,$122.50,
PO00780789,SAJ/2017/7871,10/17/2017,$92.75,
PO00779893,SAJ/2017/7870,10/17/2017,$92.75,
PO00779464,SAJ/2017/7869,10/17/2017,$92.75,
PO00780730,SAJ/2017/7868,10/17/2017,$92.75,
PO00780595,SAJ/2017/7867,10/17/2017,$92.75,
