PO #,Invoice #,Invoice Date,Total Amount
PO00721989,SAJ/2017/4770,07/14/2017,$342.50,
PO00726644,SAJ/2017/4769,07/14/2017,$79.60,
PO00724245,SAJ/2017/4768,07/14/2017,$864.00,
PO00721483,SAJ/2017/4767,07/14/2017,$122.50,
PO00723727,SAJ/2017/4766,07/14/2017,$92.75,
PO00724298,SAJ/2017/4765,07/14/2017,$92.75,
PO00724393,SAJ/2017/4764,07/14/2017,$97.50,
PO00723705,SAJ/2017/4763,07/14/2017,$122.50,
PO00705374,SAJ/2017/4717,07/14/2017,$342.50,
PO00705478,SAJ/2017/4716,07/14/2017,$342.50,
PO00722701,SAJ/2017/4715,07/14/2017,$121.75,
PO00723467,SAJ/2017/4714,07/14/2017,$115.20,
PO00723261,SAJ/2017/4713,07/14/2017,$97.50,
PO00721256,SAJ/2017/4712,07/14/2017,$260.00,
PO00715459,SAJ/2017/4711,07/14/2017,$342.50,
PO00714505,SAJ/2017/4710,07/14/2017,$342.50,
PO00722932,SAJ/2017/4709,07/14/2017,$92.75,
