PO #,Invoice #,Invoice Date,Total Amount
po00659087,SAJ/2017/1311,04/05/2017,$160.00,
po00658398,SAJ/2017/1307,04/05/2017,$93.75,
po00656634,SAJ/2017/1297,04/05/2017,$150.00,
PO00650371,SAJ/2017/1274,04/05/2017,$429.20,
PO00663977,SAJ/2017/1266,04/05/2017,$478.00,
PO00663848,SAJ/2017/1265,04/05/2017,$135.00,
PO00664238,SAJ/2017/1264,04/05/2017,$92.75,
PO00664085,SAJ/2017/1263,04/05/2017,$92.75,
PO00664612,SAJ/2017/1262,04/05/2017,$125.00,
PO00666806,SAJ/2017/1261,04/05/2017,$222.00,
PO00665041,SAJ/2017/1260,04/05/2017,$122.50,
PO00664217,SAJ/2017/1259,04/05/2017,$122.50,
PO00664061,SAJ/2017/1258,04/05/2017,$205.00,
PO00664359,SAJ/2017/1257,04/05/2017,$92.75,
