PO #,Invoice #,Invoice Date,Total Amount
PO00678868,SAJ/2017/7533,10/06/2017,$125.00,
PO00669556,SAJ/2017/7532,10/06/2017,$92.75,
PO00771317,SAJ/2017/7531,10/06/2017,$263.75,
PO00773351,SAJ/2017/7530,10/06/2017,$92.75,
PO00773247,SAJ/2017/7529,10/06/2017,$92.75,
PO00772710,SAJ/2017/7528,10/06/2017,$127.50,
PO00772803,SAJ/2017/7527,10/06/2017,$157.50,
PO00772027,SAJ/2017/7526,10/06/2017,$122.50,
PO00772438,SAJ/2017/7525,10/06/2017,$350.00,
PO00773181,SAJ/2017/7524,10/06/2017,$97.50,
PO00773119,SAJ/2017/7523,10/06/2017,$122.50,
