PO #,Invoice #,Invoice Date,Total Amount
PO00669197,SAJ/2017/1710,04/17/2017,$127.50,
PO00671335,SAJ/2017/1706,04/17/2017,$197.40,
PO00670233,SAJ/2017/1705,04/17/2017,$295.00,
PO00670762,SAJ/2017/1704,04/17/2017,$92.75,
PO00671597,SAJ/2017/1703,04/17/2017,$122.50,
PO00670089,SAJ/2017/1702,04/17/2017,$252.00,
PO00670563,SAJ/2017/1701,04/17/2017,$258.00,
PO00670956,SAJ/2017/1700,04/17/2017,$92.75,
PO00670417,SAJ/2017/1699,04/17/2017,$122.50,
PO00670900,SAJ/2017/1698,04/17/2017,$129.00,
PO00670642,SAJ/2017/1697,04/17/2017,$122.50,
PO00670475,SAJ/2017/1696,04/17/2017,$122.50,
PO00671526,SAJ/2017/1695,04/17/2017,$92.75,
PO00669843,SAJ/2017/1694,04/17/2017,$102.00,
PO00670930,SAJ/2017/1693,04/17/2017,$175.00,
