PO #,Invoice #,Invoice Date,Total Amount
PO00656039,SAJ/2017/0929,03/23/2017,$88.50,
PO00656953,SAJ/2017/0928,03/23/2017,$280.00,
PO00657852,SAJ/2017/0927,03/23/2017,$175.00,
PO00654097,SAJ/2017/0926,03/23/2017,$92.75,
PO00657897,SAJ/2017/0925,03/23/2017,$205.00,
PO00657668,SAJ/2017/0924,03/23/2017,$76.50,
PO00657895,SAJ/2017/0923,03/23/2017,$125.00,
PO00657168,SAJ/2017/0922,03/23/2017,$63.75,
PO00657164,SAJ/2017/0921,03/23/2017,$63.75,
PO00656962,SAJ/2017/0920,03/23/2017,$92.75,
PO00656532,SAJ/2017/0919,03/23/2017,$92.75,
PO00657914,SAJ/2017/0918,03/23/2017,$81.00,
po00654773,SAJ/2017/0911,03/23/2017,$93.75,
PO00654824,SAJ/2017/0904,03/23/2017,$100.30,
PO00653696,SAJ/2017/0884,03/23/2017,$88.50,
PO00656434,SAJ/2017/0870,03/23/2017,$202.50,
PO00656174,SAJ/2017/0868,03/23/2017,$132.50,
PO00657842,SAJ/2017/0867,03/23/2017,$172.00,
PO00656471,SAJ/2017/0866,03/23/2017,$280.00,
PO00656824,SAJ/2017/0865,03/23/2017,$122.50,
PO00657192,SAJ/2017/0864,03/23/2017,$106.25,
PO00656350,SAJ/2017/0863,03/23/2017,$63.75,
