PO #,Invoice #,Invoice Date,Total Amount
PO00754296,SAJ/2017/6743,09/15/2017,$881.60,
PO00758820,SAJ/2017/6742,09/15/2017,$122.50,
PO00759334,SAJ/2017/6741,09/15/2017,$125.00,
PO00758953,SAJ/2017/6740,09/15/2017,$122.50,
PO00760323,SAJ/2017/6739,09/15/2017,$125.00,
PO00759766,SAJ/2017/6738,09/15/2017,$122.50,
PO00759968,SAJ/2017/6737,09/15/2017,$133.75,
PO00759308,SAJ/2017/6736,09/15/2017,$81.00,
PO00759690,SAJ/2017/6735,09/15/2017,$92.75,
PO00761883,SAJ/2017/6734,09/15/2017,$100.00,
PO00760289,SAJ/2017/6733,09/15/2017,$92.75,
PO00759438,SAJ/2017/6732,09/15/2017,$100.00,
PO00760414,SAJ/2017/6731,09/15/2017,$120.75,
PO00759000,SAJ/2017/6730,09/15/2017,$122.50,
