PO #,Invoice #,Invoice Date,Total Amount
,SAJ/2017/2909,05/17/2017,$92.75,
PO00683565,SAJ/2017/2904,05/17/2017,$157.50,
PO00685312,SAJ/2017/2903,05/17/2017,$122.50,
PO00679445,SAJ/2017/2902,05/17/2017,$2650.00,
PO00690979,SAJ/2017/2901,05/17/2017,$700.00,
PO00685296,SAJ/2017/2894,05/17/2017,$92.75,
PO00682756,SAJ/2017/2885,05/17/2017,$92.75,
PO00682898,SAJ/2017/2854,05/17/2017,$92.75,
 ,SAJ/2017/2843,05/17/2017,$92.75,
PO00692017,SAJ/2017/2842,05/17/2017,$106.25,
PO00691479,SAJ/2017/2841,05/17/2017,$260.00,
PO00688798,SAJ/2017/2840,05/17/2017,$81.00,
PO00691095,SAJ/2017/2839,05/17/2017,$92.75,
PO00691806,SAJ/2017/2838,05/17/2017,$100.00,
PO00691733,SAJ/2017/2837,05/17/2017,$92.75,
PO00690760,SAJ/2017/2835,05/17/2017,$115.20,
