PO #,Invoice #,Invoice Date,Total Amount
PO00726240,SAJ/2017/4915,07/19/2017,$133.75,
PO00724509,SAJ/2017/4914,07/19/2017,$130.00,
PO00729186,SAJ/2017/4913,07/19/2017,$135.00,
PO00724451,SAJ/2017/4912,07/19/2017,$97.50,
PO00724138,SAJ/2017/4911,07/19/2017,$97.50,
PO00724318,SAJ/2017/4908,07/19/2017,$121.50,
PO00725865,SAJ/2017/4907,07/19/2017,$122.50,
PO00725241,SAJ/2017/4906,07/19/2017,$132.50,
PO00725755,SAJ/2017/4905,07/19/2017,$135.00,
PO00725358,SAJ/2017/4904,07/19/2017,$97.50,
PO00725051,SAJ/2017/4903,07/19/2017,$92.75,
PO00725307,SAJ/2017/4902,07/19/2017,$92.75,
