PO #,Invoice #,Invoice Date,Total Amount
PO00786508,SAJ/2017/8143,10/25/2017,$237.00,
PO00785073,SAJ/2017/8142,10/25/2017,$126.00,
PO00785095,SAJ/2017/8141,10/25/2017,$126.00,
PO00786494,SAJ/2017/8140,10/25/2017,$126.00,
PO00785054,SAJ/2017/8139,10/25/2017,$118.08,
PO00785065,SAJ/2017/8138,10/25/2017,$126.00,
PO00763067reship,SAJ/2017/8137,10/25/2017,$0.00,
PO00786167,SAJ/2017/8136,10/25/2017,$1150.35,
PO00784487,SAJ/2017/8135,10/25/2017,$157.50,
PO00784340,SAJ/2017/8134,10/25/2017,$157.50,
PO00781084,SAJ/2017/8133,10/25/2017,$157.50,
PO00785204,SAJ/2017/8132,10/25/2017,$157.50,
PO00784390,SAJ/2017/8131,10/25/2017,$92.75,
PO00784346,SAJ/2017/8130,10/25/2017,$122.50,
PO00784197,SAJ/2017/8129,10/25/2017,$63.75,
