Customer ID,Customer Name,PO #,Invoice #,Invoice Date,Total Amount
C000000101864,ZORCH INTERNATIONAL INC,PO00711369,SAJ/2017/4112,06/21/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00711530,SAJ/2017/4111,06/21/2017,$102.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00712138,SAJ/2017/4110,06/21/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00711799,SAJ/2017/4109,06/21/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00712112,SAJ/2017/4108,06/21/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00712020,SAJ/2017/4107,06/21/2017,$79.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00712043,SAJ/2017/4105,06/21/2017,$185.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00690925 ,SAJ/2017/4077,06/21/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00711269,SAJ/2017/4069,06/21/2017,$79.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00711059,SAJ/2017/4068,06/21/2017,$127.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00710956,SAJ/2017/4067,06/21/2017,$125.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00711434,SAJ/2017/4066,06/21/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00711376,SAJ/2017/4065,06/21/2017,$108.80,
