PO #,Invoice #,Invoice Date,Total Amount
PO00832218,SAJ/2018/10778,01/29/2018,$103.80,
PO00835164,SAJ/2018/10777,01/29/2018,$135.00,
PO00835713,SAJ/2018/10776,01/29/2018,$117.00,
PO00835668,SAJ/2018/10775,01/29/2018,$201.60,
PO00835698,SAJ/2018/10774,01/29/2018,$152.00,
PO00835128,SAJ/2018/10773,01/29/2018,$238.50,
PO00834572,SAJ/2018/10772,01/29/2018,$132.50,
PO00835863,SAJ/2018/10771,01/29/2018,$243.00,
PO00835876,SAJ/2018/10770,01/29/2018,$262.50,
PO00832086,SAJ/2018/10769,01/29/2018,$2403.81,
