PO #,Invoice #,Invoice Date,Total Amount
PO00679095,SAJ/2017/2264,05/01/2017,$191.25,
PO00678610,SAJ/2017/2263,05/01/2017,$122.50,
PO00679193,SAJ/2017/2262,05/01/2017,$350.00,
PO00679297,SAJ/2017/2261,05/01/2017,$92.75,
PO00678649,SAJ/2017/2260,05/01/2017,$246.25,
PO00678966,SAJ/2017/2258,05/01/2017,$246.25,
PO00679249,SAJ/2017/2256,05/01/2017,$127.50,
PO00679315,SAJ/2017/2254,05/01/2017,$127.50,
PO00678256,SAJ/2017/2251,05/01/2017,$189.00,
PO00678536,SAJ/2017/2250,05/01/2017,$122.50,
PO00679464,SAJ/2017/2249,05/01/2017,$92.75,
PO00679317,SAJ/2017/2248,05/01/2017,$239.00,
PO00679757,SAJ/2017/2247,05/01/2017,$97.50,
PO00678543,SAJ/2017/2246,05/01/2017,$228.00,
PO00679154,SAJ/2017/2245,05/01/2017,$240.00,
PO00679580,SAJ/2017/2244,05/01/2017,$175.00,
