PO #,Invoice #,Invoice Date,Total Amount
PO00683442,SAJ/2017/2714,05/12/2017,$122.50,
PO00683558,SAJ/2017/2713,05/12/2017,$246.25,
PO00685324,SAJ/2017/2674,05/12/2017,$127.50,
PO00683878,SAJ/2017/2673,05/12/2017,$200.00,
PO00683813,SAJ/2017/2647,05/12/2017,$153.00,
PO00683638,SAJ/2017/2646,05/12/2017,$252.00,
PO00684708,SAJ/2017/2632,05/12/2017,$92.75,
PO00684439,SAJ/2017/2631,05/12/2017,$92.75,
PO00688333,SAJ/2017/2630,05/12/2017,$822.00,
PO00687868,SAJ/2017/2629,05/12/2017,$81.00,
PO00688181,SAJ/2017/2628,05/12/2017,$92.75,
PO00688838,SAJ/2017/2627,05/12/2017,$96.25,
