PO #,Invoice #,Invoice Date,Total Amount
PO00696348,SAJ/2017/7573,10/09/2017,$190.25,
PO00774007,SAJ/2017/7572,10/09/2017,$127.50,
PO00774189,SAJ/2017/7571,10/09/2017,$157.50,
PO00773629,SAJ/2017/7570,10/09/2017,$122.50,
PO00772782,SAJ/2017/7569,10/09/2017,$92.75,
PO00774783,SAJ/2017/7568,10/09/2017,$175.00,
PO00774350,SAJ/2017/7567,10/09/2017,$92.75,
PO00773666,SAJ/2017/7566,10/09/2017,$280.00,
PO00773935,SAJ/2017/7565,10/09/2017,$135.00,
PO00773738,SAJ/2017/7564,10/09/2017,$100.00,
PO00773780,SAJ/2017/7563,10/09/2017,$92.75,
PO00774120,SAJ/2017/7562,10/09/2017,$92.75,
PO00773997,SAJ/2017/7561,10/09/2017,$156.00,
PO00774627,SAJ/2017/7560,10/09/2017,$97.50,
