PO #,Invoice #,Invoice Date,Total Amount
PO00747820,SAJ/2017/6245,08/29/2017,$93.75,
PO00750186,SAJ/2017/6181,08/29/2017,$81.00,
PO00750149,SAJ/2017/6180,08/29/2017,$122.50,
PO00750334,SAJ/2017/6179,08/29/2017,$92.75,
PO00750414,SAJ/2017/6178,08/29/2017,$92.75,
PO00750235,SAJ/2017/6177,08/29/2017,$92.75,
PO00748680,SAJ/2017/6176,08/29/2017,$92.75,
PO00749869,SAJ/2017/6175,08/29/2017,$204.00,
PO00750111,SAJ/2017/6174,08/29/2017,$97.50,
PO00750253,SAJ/2017/6173,08/29/2017,$97.50,
PO00749232,SAJ/2017/6172,08/29/2017,$92.75,
PO00749406,SAJ/2017/6171,08/29/2017,$92.75,
PO00749692,SAJ/2017/6170,08/29/2017,$122.50,
PO00749820,SAJ/2017/6169,08/29/2017,$92.75,
