PO #,Invoice #,Invoice Date,Total Amount
PO00665290,SAJ/2017/1405,04/06/2017,$160.00,
PO00665276,SAJ/2017/1344,04/06/2017,$166.50,
PO00665002,SAJ/2017/1343,04/06/2017,$63.75,
PO00664680,SAJ/2017/1342,04/06/2017,$92.75,
PO00665060,SAJ/2017/1341,04/06/2017,$92.75,
PO00664752,SAJ/2017/1340,04/06/2017,$192.50,
PO00664954,SAJ/2017/1339,04/06/2017,$192.50,
PO00663834,SAJ/2017/1338,04/06/2017,$121.50,
PO00664892,SAJ/2017/1337,04/06/2017,$239.00,
PO00664814,SAJ/2017/1336,04/06/2017,$92.75,
PO00664739,SAJ/2017/1335,04/06/2017,$92.75,
PO00665220,SAJ/2017/1334,04/06/2017,$122.50,
PO00665461,SAJ/2017/1333,04/06/2017,$96.25,
PO00665899,SAJ/2017/1332,04/06/2017,$127.50,
PO00665587,SAJ/2017/1331,04/06/2017,$282.00,
PO00663438,SAJ/2017/1330,04/06/2017,$127.50,
PO00667974,SAJ/2017/1329,04/06/2017,$102.84,
PO00667967,SAJ/2017/1328,04/06/2017,$83.71,
PO00667885,SAJ/2017/1327,04/06/2017,$177.69,
