PO #,Invoice #,Invoice Date,Total Amount
PO00751355,SAJ/2017/6308,08/31/2017,$115.20,
PO00751473,SAJ/2017/6307,08/31/2017,$175.00,
PO00751332,SAJ/2017/6306,08/31/2017,$92.75,
PO00752176,SAJ/2017/6305,08/31/2017,$120.00,
PO00751174,SAJ/2017/6304,08/31/2017,$92.75,
PO00750856,SAJ/2017/6303,08/31/2017,$122.50,
PO00751756,SAJ/2017/6302,08/31/2017,$81.00,
PO00752472,SAJ/2017/6300,08/31/2017,$81.00,
PO00751972,SAJ/2017/6298,08/31/2017,$135.00,
PO00752164,SAJ/2017/6297,08/31/2017,$92.75,
PO00751549,SAJ/2017/6295,08/31/2017,$102.00,
PO00751660,SAJ/2017/6294,08/31/2017,$97.50,
PO00753149,SAJ/2017/6293,08/31/2017,$121.50,
PO00751008,SAJ/2017/6292,08/31/2017,$122.50,
PO00752604,SAJ/2017/6291,08/31/2017,$234.00,
PO00751586,SAJ/2017/6290,08/31/2017,$121.50,
