PO #,Invoice #,Invoice Date,Total Amount
PO00788212,SAJ/2017/8649,11/08/2017,$88.50,
PO00782440,SAJ/2017/8648,11/08/2017,$342.50,
PO00783926,SAJ/2017/8647,11/08/2017,$118.00,
PO00783661,SAJ/2017/8646,11/08/2017,$100.30,
PO00792105,SAJ/2017/8637,11/08/2017,$92.75,
PO00792648,SAJ/2017/8636,11/08/2017,$92.75,
PO00791668,SAJ/2017/8635,11/08/2017,$405.00,
PO00792727,SAJ/2017/8634,11/08/2017,$122.50,
PO00793036,SAJ/2017/8633,11/08/2017,$122.50,
PO00793254,SAJ/2017/8632,11/08/2017,$438.75,
PO00793584,SAJ/2017/8631,11/08/2017,$122.50,
PO00793235,SAJ/2017/8630,11/08/2017,$122.50,
PO00791736,SAJ/2017/8629,11/08/2017,$108.30,
PO00792580,SAJ/2017/8628,11/08/2017,$150.00,
PO00792993,SAJ/2017/8627,11/08/2017,$192.50,
PO00792804,SAJ/2017/8626,11/08/2017,$126.00,
PO00791410,SAJ/2017/8625,11/08/2017,$159.00,
PO00791019,SAJ/2017/8624,11/08/2017,$92.75,
PO00786100,SAJ/2017/8623,11/08/2017,$255.00,
PO00791286,SAJ/2017/8622,11/08/2017,$122.50,
PO00791489,SAJ/2017/8621,11/08/2017,$237.50,
PO00791419,SAJ/2017/8620,11/08/2017,$92.75,
PO00791840,SAJ/2017/8619,11/08/2017,$92.75,
PO00790784,SAJ/2017/8618,11/08/2017,$100.00,
