PO #,Invoice #,Invoice Date,Total Amount
PO00731533,SAJ/2017/5945,08/21/2017,$435.25,
PO00742887,SAJ/2017/5921,08/21/2017,$92.75,
PO00744431,SAJ/2017/5920,08/21/2017,$152.00,
PO00743564,SAJ/2017/5919,08/21/2017,$175.00,
PO00738012,SAJ/2017/5918,08/21/2017,$97.50,
PO00743168,SAJ/2017/5917,08/21/2017,$92.75,
PO00742831,SAJ/2017/5916,08/21/2017,$92.75,
PO00742753,SAJ/2017/5915,08/21/2017,$92.75,
PO00743139,SAJ/2017/5914,08/21/2017,$106.00,
PO00742651,SAJ/2017/5913,08/21/2017,$92.75,
PO00744328,SAJ/2017/5912,08/21/2017,$115.20,
PO00742681,SAJ/2017/5911,08/21/2017,$122.50,
PO00743688,SAJ/2017/5910,08/21/2017,$92.75,
PO00743786,SAJ/2017/5909,08/21/2017,$175.00,
PO00743270,SAJ/2017/5908,08/21/2017,$122.50,
PO00744884,SAJ/2017/5907,08/21/2017,$92.75,
PO00743282,SAJ/2017/5906,08/21/2017,$92.75,
PO00745084,SAJ/2017/5905,08/21/2017,$92.75,
PO00744618,SAJ/2017/5904,08/21/2017,$92.75,
PO00743774,SAJ/2017/5903,08/21/2017,$92.75,
PO00745124,SAJ/2017/5902,08/21/2017,$132.50,
PO00744929,SAJ/2017/5901,08/21/2017,$260.00,
PO00744967,SAJ/2017/5900,08/21/2017,$180.00,
PO00742884,SAJ/2017/5899,08/21/2017,$97.50,
PO00744832,SAJ/2017/5898,08/21/2017,$97.50,
