PO #,Invoice #,Invoice Date,Total Amount
PO00663357,SAJ/2017/1228,04/04/2017,$239.00,
PO00663297,SAJ/2017/1227,04/04/2017,$157.50,
PO00663619,SAJ/2017/1226,04/04/2017,$147.50,
PO00663519,SAJ/2017/1225,04/04/2017,$237.50,
PO00663691,SAJ/2017/1224,04/04/2017,$122.50,
PO00663649,SAJ/2017/1223,04/04/2017,$92.75,
PO00663568,SAJ/2017/1222,04/04/2017,$126.00,
PO00664154,SAJ/2017/1221,04/04/2017,$470.00,
PO00663349,SAJ/2017/1220,04/04/2017,$92.75,
PO00663311,SAJ/2017/1219,04/04/2017,$92.75,
PO00663515,SAJ/2017/1218,04/04/2017,$122.50,
PO00664029,SAJ/2017/1217,04/04/2017,$63.75,
PO00663269,SAJ/2017/1216,04/04/2017,$63.75,
PO00663804,SAJ/2017/1215,04/04/2017,$63.75,
