PO #,Invoice #,Invoice Date,Total Amount
041917-Zorch,SAJ/2017/1936,04/20/2017,$0.00,
PO00672649,SAJ/2017/1935,04/20/2017,$126.00,
PO00674034,SAJ/2017/1934,04/20/2017,$92.75,
PO00670345,SAJ/2017/1933,04/20/2017,$205.00,
PO00672950,SAJ/2017/1932,04/20/2017,$92.75,
PO00674058,SAJ/2017/1931,04/20/2017,$92.75,
PO00671672,SAJ/2017/1930,04/20/2017,$175.00,
PO00673681,SAJ/2017/1929,04/20/2017,$122.50,
PO00675246,SAJ/2017/1928,04/20/2017,$92.75,
PO00673653,SAJ/2017/1927,04/20/2017,$92.75,
PO00674129,SAJ/2017/1926,04/20/2017,$267.75,
