PO #,Invoice #,Invoice Date,Total Amount
PO00757104,SAJ/2017/7053,09/25/2017,$195.00,
PO00762830,SAJ/2017/6993,09/25/2017,$122.50,
PO00763079,SAJ/2017/6992,09/25/2017,$132.00,
PO00763054,SAJ/2017/6991,09/25/2017,$122.50,
PO00763967,SAJ/2017/6990,09/25/2017,$97.50,
PO00767829,SAJ/2017/6989,09/25/2017,$280.00,
PO00762764,SAJ/2017/6988,09/25/2017,$92.75,
PO00761960,SAJ/2017/6987,09/25/2017,$92.75,
PO00762368,SAJ/2017/6986,09/25/2017,$122.50,
PO00762297,SAJ/2017/6985,09/25/2017,$92.75,
PO00762204,SAJ/2017/6984,09/25/2017,$92.75,
PO00763889,SAJ/2017/6983,09/25/2017,$125.00,
PO00763877,SAJ/2017/6981,09/25/2017,$175.00,
PO00764545,SAJ/2017/6980,09/25/2017,$119.00,
PO00763835,SAJ/2017/6979,09/25/2017,$122.50,
PO00763067,SAJ/2017/6978,09/25/2017,$238.50,
