PO #,Invoice #,Invoice Date,Total Amount
Po00654708-1,SAJ/2017/3313,05/30/2017,$8.00,
PO00700659,SAJ/2017/3298,05/30/2017,$79.60,
PO00696993,SAJ/2017/3290,05/30/2017,$231.25,
PO00697130,SAJ/2017/3289,05/30/2017,$97.50,
PO00696657,SAJ/2017/3288,05/30/2017,$97.50,
PO00695037,SAJ/2017/3287,05/30/2017,$153.00,
PO00697183,SAJ/2017/3286,05/30/2017,$125.00,
PO00697956,SAJ/2017/3285,05/30/2017,$227.00,
PO00694462,SAJ/2017/3284,05/30/2017,$92.75,
PO00697412,SAJ/2017/3283,05/30/2017,$129.00,
PO00697355,SAJ/2017/3282,05/30/2017,$81.00,
PO00696714,SAJ/2017/3281,05/30/2017,$97.50,
PO00698034,SAJ/2017/3278,05/30/2017,$97.50,
PO00698502,SAJ/2017/3277,05/30/2017,$97.50,
PO00696928,SAJ/2017/3276,05/30/2017,$127.50,
PO00697952,SAJ/2017/3275,05/30/2017,$117.00,
PO00698464,SAJ/2017/3274,05/30/2017,$147.50,
PO00698638,SAJ/2017/3273,05/30/2017,$92.75,
PO00697699,SAJ/2017/3272,05/30/2017,$135.00,
PO00698523,SAJ/2017/3271,05/30/2017,$122.50,
PO00698533,SAJ/2017/3270,05/30/2017,$122.50,
