PO #,Invoice #,Invoice Date,Total Amount
PO00754886,SAJ/2017/6525,09/08/2017,$240.00,
PO00755684,SAJ/2017/6524,09/08/2017,$122.50,
PO00755482,SAJ/2017/6523,09/08/2017,$122.50,
PO00755680,SAJ/2017/6522,09/08/2017,$132.50,
PO00755696,SAJ/2017/6521,09/08/2017,$92.75,
PO00753572,SAJ/2017/6520,09/08/2017,$122.50,
PO00754789,SAJ/2017/6519,09/08/2017,$92.75,
PO00756863,SAJ/2017/6518,09/08/2017,$63.75,
PO00755501,SAJ/2017/6517,09/08/2017,$97.50,
PO00756158,SAJ/2017/6516,09/08/2017,$152.00,
PO00755317,SAJ/2017/6515,09/08/2017,$350.00,
