PO #,Invoice #,Invoice Date,Total Amount
PO00650763,SAJ/2017/2139,04/25/2017,$118.00,
PO00655680,SAJ/2017/2138,04/25/2017,$93.75,
PO00670967,SAJ/2017/2122,04/25/2017,$236.00,
PO00670978,SAJ/2017/2089,04/25/2017,$390.00,
PO00674754,SAJ/2017/2084,04/25/2017,$342.50,
PO00679867,SAJ/2017/2083,04/25/2017,$125.00,
PO00677748,SAJ/2017/2082,04/25/2017,$1015.00,
PO00676159,SAJ/2017/2081,04/25/2017,$92.75,
PO00676643,SAJ/2017/2080,04/25/2017,$92.75,
PO00677752,SAJ/2017/2079,04/25/2017,$243.00,
PO00676485,SAJ/2017/2078,04/25/2017,$122.50,
PO00676284,SAJ/2017/2077,04/25/2017,$92.75,
PO00677352,SAJ/2017/2076,04/25/2017,$92.75,
PO00675956,SAJ/2017/2075,04/25/2017,$122.50,
PO00676100,SAJ/2017/2074,04/25/2017,$92.75,
PO00676017,SAJ/2017/2073,04/25/2017,$151.20,
