PO #,Invoice #,Invoice Date,Total Amount
PO00831120,SAJ/2018/10763,01/26/2018,$88.50,
PO00801388,SAJ/2018/10762,01/26/2018,$314.00,
PO00835375,SAJ/2018/10729,01/26/2018,$172.08,
PO00835557,SAJ/2018/10728,01/26/2018,$118.08,
PO00834073,SAJ/2018/10727,01/26/2018,$92.75,
PO00835415,SAJ/2018/10726,01/26/2018,$92.75,
PO00835412,SAJ/2018/10725,01/26/2018,$122.50,
PO00830809,SAJ/2018/10724,01/26/2018,$97.50,
PO00835048,SAJ/2018/10723,01/26/2018,$92.75,
PO00834892,SAJ/2018/10722,01/26/2018,$100.00,
PO00834069,SAJ/2018/10721,01/26/2018,$122.50,
PO00831128,SAJ/2018/10720,01/26/2018,$97.50,
PO00833443,SAJ/2018/10719,01/26/2018,$97.50,
PO00830709,SAJ/2018/10718,01/26/2018,$97.50,
PO00834719,SAJ/2018/10717,01/26/2018,$106.75,
PO00834638,SAJ/2018/10716,01/26/2018,$157.50,
