PO #,Invoice #,Invoice Date,Total Amount
PO00662795,SAJ/2017/1520,04/11/2017,$521.60,
PO00668436,SAJ/2017/1498,04/11/2017,$133.75,
PO00659370,SAJ/2017/1497,04/11/2017,$342.50,
PO00668341,SAJ/2017/1496,04/11/2017,$122.50,
PO00668783,SAJ/2017/1495,04/11/2017,$258.00,
PO00667812,SAJ/2017/1493,04/11/2017,$122.50,
PO00668103,SAJ/2017/1492,04/11/2017,$92.75,
PO00667714,SAJ/2017/1490,04/11/2017,$92.75,
PO00668066,SAJ/2017/1489,04/11/2017,$182.50,
PO00668428,SAJ/2017/1488,04/11/2017,$92.75,
PO00667759,SAJ/2017/1487,04/11/2017,$112.00,
PO00669979,SAJ/2017/1485,04/11/2017,$175.00,
