PO #,Invoice #,Invoice Date,Total Amount
PO00684483,SAJ/2017/2393,05/03/2017,$238.80,
PO00680049,SAJ/2017/2392,05/03/2017,$133.75,
PO00681293,SAJ/2017/2390,05/03/2017,$122.50,
PO00680383,SAJ/2017/2389,05/03/2017,$106.25,
PO00681846,SAJ/2017/2388,05/03/2017,$171.00,
PO00681256,SAJ/2017/2387,05/03/2017,$92.75,
PO00680091,SAJ/2017/2386,05/03/2017,$133.75,
PO00680002,SAJ/2017/2385,05/03/2017,$157.50,
PO00681591,SAJ/2017/2384,05/03/2017,$92.75,
PO00681480,SAJ/2017/2383,05/03/2017,$173.25,
PO00681935,SAJ/2017/2382,05/03/2017,$128.50,
PO00680157,SAJ/2017/2381,05/03/2017,$92.75,
PO00681599,SAJ/2017/2380,05/03/2017,$92.75,
PO00679699,SAJ/2017/2379,05/03/2017,$122.50,
