PO #,Invoice #,Invoice Date,Total Amount
PO00805257,SAJ/2017/9131,11/29/2017,$92.75,
PO00805121,SAJ/2017/9130,11/29/2017,$99.00,
PO00804686,SAJ/2017/9129,11/29/2017,$175.00,
PO00805233,SAJ/2017/9128,11/29/2017,$122.50,
PO00803352,SAJ/2017/9127,11/29/2017,$77.00,
PO00804426,SAJ/2017/9126,11/29/2017,$126.00,
PO00806971,SAJ/2017/9125,11/29/2017,$590.00,
PO00805100,SAJ/2017/9124,11/29/2017,$192.50,
PO00805051,SAJ/2017/9123,11/29/2017,$260.00,
PO00803840,SAJ/2017/9122,11/29/2017,$270.00,
PO00803880,SAJ/2017/9121,11/29/2017,$99.00,
