PO #,Invoice #,Invoice Date,Total Amount
PO00802773,SAJ/2017/9017,11/27/2017,$183.75,
PO00803164,SAJ/2017/9016,11/27/2017,$97.50,
PO00803393,SAJ/2017/9015,11/27/2017,$115.20,
PO00802379,SAJ/2017/9014,11/27/2017,$120.00,
PO00802890,SAJ/2017/9013,11/27/2017,$92.75,
PO00802546,SAJ/2017/9012,11/27/2017,$182.50,
PO00803175,SAJ/2017/9011,11/27/2017,$92.75,
PO00801641,SAJ/2017/9010,11/27/2017,$131.20,
PO00800214,SAJ/2017/9009,11/27/2017,$118.08,
PO00801769,SAJ/2017/9008,11/27/2017,$131.20,
PO00802387,SAJ/2017/9007,11/27/2017,$232.80,
PO00802307,SAJ/2017/9006,11/27/2017,$240.00,
PO00802746,SAJ/2017/9005,11/27/2017,$92.75,
PO00802284,SAJ/2017/9004,11/27/2017,$166.50,
