PO #,Invoice #,Invoice Date,Total Amount
PO00763952,SAJ/2017/7130,09/27/2017,$118.00,
PO00766021,SAJ/2017/7129,09/27/2017,$97.50,
PO00767023,SAJ/2017/7128,09/27/2017,$229.50,
PO00767015,SAJ/2017/7127,09/27/2017,$185.00,
PO00766580,SAJ/2017/7126,09/27/2017,$70.00,
PO00766667,SAJ/2017/7125,09/27/2017,$125.00,
PO00766940,SAJ/2017/7124,09/27/2017,$105.00,
PO00765507,SAJ/2017/7123,09/27/2017,$92.75,
PO00767126,SAJ/2017/7122,09/27/2017,$214.25,
PO00765613,SAJ/2017/7121,09/27/2017,$92.75,
PO00767065,SAJ/2017/7120,09/27/2017,$92.75,
PO00770327,SAJ/2017/7119,09/27/2017,$127.50,
PO00766790,SAJ/2017/7118,09/27/2017,$92.75,
