PO #,Invoice #,Invoice Date,Total Amount
PO00823767,SAJ/2018/9910,01/08/2018,$92.75,
PO00825100,SAJ/2018/9909,01/08/2018,$142.50,
PO00824740,SAJ/2018/9908,01/08/2018,$106.25,
PO00823981,SAJ/2018/9907,01/08/2018,$97.50,
PO00824126,SAJ/2018/9906,01/08/2018,$110.88,
PO00823787,SAJ/2018/9905,01/08/2018,$125.00,
PO00823774,SAJ/2018/9904,01/08/2018,$122.50,
PO00823751,SAJ/2018/9903,01/08/2018,$132.50,
PO00822759,SAJ/2018/9902,01/08/2018,$381.50,
PO00823284,SAJ/2018/9901,01/08/2018,$190.50,
PO00823631,SAJ/2018/9900,01/08/2018,$152.00,
PO00823367,SAJ/2018/9899,01/08/2018,$106.00,
PO00822879,SAJ/2018/9898,01/08/2018,$122.50,
PO00823246,SAJ/2018/9897,01/08/2018,$92.75,
