PO #,Invoice #,Invoice Date,Total Amount
PO00701269,SAJ/2017/3746,06/09/2017,$122.50,
PO00699521,SAJ/2017/3745,06/09/2017,$92.75,
PO00702345,SAJ/2017/3744,06/09/2017,$92.75,
PO00701542,SAJ/2017/3743,06/09/2017,$92.75,
PO00701405,SAJ/2017/3742,06/09/2017,$122.50,
,SAJ/2017/3723,06/09/2017,$413.00,
,SAJ/2017/3703,06/09/2017,$531.00,
PO00704747,SAJ/2017/3698,06/09/2017,$127.50,
PO00707418,SAJ/2017/3697,06/09/2017,$102.00,
PO00703337,SAJ/2017/3696,06/09/2017,$92.75,
PO00703006,SAJ/2017/3695,06/09/2017,$92.75,
PO00703664,SAJ/2017/3694,06/09/2017,$159.00,
PO00704415,SAJ/2017/3693,06/09/2017,$140.00,
PO00704405,SAJ/2017/3692,06/09/2017,$170.00,
PO00703846,SAJ/2017/3691,06/09/2017,$157.50,
PO00702129,SAJ/2017/3690,06/09/2017,$103.50,
PO00703346,SAJ/2017/3689,06/09/2017,$92.75,
PO00703528,SAJ/2017/3688,06/09/2017,$122.50,
PO00703217,SAJ/2017/3687,06/09/2017,$97.50,
PO00704810,SAJ/2017/3686,06/09/2017,$97.50,
PO00704465,SAJ/2017/3685,06/09/2017,$97.50,
PO00703100,SAJ/2017/3684,06/09/2017,$97.50,
PO00704215,SAJ/2017/3683,06/09/2017,$193.00,
PO00704609,SAJ/2017/3681,06/09/2017,$133.75,
PO00704419,SAJ/2017/3680,06/09/2017,$133.75,
PO00703739,SAJ/2017/3679,06/09/2017,$122.50,
PO00694037,SAJ/2017/3678,06/09/2017,$122.50,
PO00691241,SAJ/2017/3677,06/09/2017,$382.00,
PO00696181,SAJ/2017/3676,06/09/2017,$92.75,
PO00692096,SAJ/2017/3675,06/09/2017,$92.75,
PO00701476,SAJ/2017/3672,06/09/2017,$106.00,
PO00696644,SAJ/2017/3671,06/09/2017,$92.75,
PO00701516,SAJ/2017/3670,06/09/2017,$92.75,
