PO #,Invoice#,Invoice_date,Total Amount
PO00649601,Invoice SAJ/2017/0449,03/09/2017,$85.00,
PO00650120,Invoice SAJ/2017/0448,03/09/2017,$127.50,
PO00651881,Invoice SAJ/2017/0447,03/09/2017,$336.00,
PO00650109,Invoice SAJ/2017/0446,03/09/2017,$185.00,
PO00649711,Invoice SAJ/2017/0445,03/09/2017,$92.75,
PO00649796,Invoice SAJ/2017/0444,03/09/2017,$92.75,
PO00650050,Invoice SAJ/2017/0443,03/09/2017,$92.75,
PO00649965,Invoice SAJ/2017/0442,03/09/2017,$63.75,
PO00649911,Invoice SAJ/2017/0441,03/09/2017,$180.00,
PO00649837,Invoice SAJ/2017/0440,03/09/2017,$126.00,
