PO #,Invoice #,Invoice Date,Total Amount
PO00662446,SAJ/2017/1184,04/03/2017,$63.75,
PO00662601,SAJ/2017/1178,04/03/2017,$255.00,
PO00662680,SAJ/2017/1176,04/03/2017,$63.75,
PO00662348,SAJ/2017/1174,04/03/2017,$685.00,
PO00662523,SAJ/2017/1173,04/03/2017,$122.50,
PO00662878,SAJ/2017/1172,04/03/2017,$122.50,
PO00662674,SAJ/2017/1171,04/03/2017,$210.00,
PO00662755,SAJ/2017/1170,04/03/2017,$285.00,
PO00663021,SAJ/2017/1168,04/03/2017,$122.50,
PO00662730,SAJ/2017/1167,04/03/2017,$122.50,
PO00661465,SAJ/2017/1166,04/03/2017,$189.00,
PO00662813,SAJ/2017/1165,04/03/2017,$92.75,
PO00662127,SAJ/2017/1164,04/03/2017,$92.75,
