PO #,Invoice #,Invoice Date,Total Amount
PO00735460,SAJ/2017/5477,08/07/2017,$260.00,
PO00736648,SAJ/2017/5476,08/07/2017,$103.50,
PO00736312,SAJ/2017/5475,08/07/2017,$119.60,
PO00735322,SAJ/2017/5474,08/07/2017,$183.75,
PO00736501,SAJ/2017/5473,08/07/2017,$115.20,
PO00735906,SAJ/2017/5472,08/07/2017,$97.50,
PO00735365,SAJ/2017/5471,08/07/2017,$200.00,
PO00737017,SAJ/2017/5470,08/07/2017,$125.00,
PO00736712,SAJ/2017/5469,08/07/2017,$106.25,
PO00736036,SAJ/2017/5468,08/07/2017,$133.75,
PO00733284,SAJ/2017/5467,08/07/2017,$195.00,
PO00735465,SAJ/2017/5466,08/07/2017,$122.50,
PO00730891,SAJ/2017/5465,08/07/2017,$122.50,
PO00735197,SAJ/2017/5464,08/07/2017,$92.75,
PO00735669,SAJ/2017/5463,08/07/2017,$106.00,
PO00734849,SAJ/2017/5462,08/07/2017,$125.00,
PO00735687,SAJ/2017/5461,08/07/2017,$92.75,
PO00735777,SAJ/2017/5460,08/07/2017,$122.50,
PO00735754,SAJ/2017/5459,08/07/2017,$140.00,
PO00733518,SAJ/2017/5446,08/07/2017,$129.75,
PO00733822,SAJ/2017/5442,08/07/2017,$342.50,
