PO #,Invoice #,Invoice Date,Total Amount
PO00727760,SAJ/2017/5044,07/24/2017,$92.75,
PO00727330,SAJ/2017/5043,07/24/2017,$480.00,
PO00728499,SAJ/2017/5042,07/24/2017,$175.00,
PO00727749,SAJ/2017/5041,07/24/2017,$376.00,
PO00726331,SAJ/2017/5040,07/24/2017,$122.50,
PO00727228,SAJ/2017/5039,07/24/2017,$246.25,
PO00725891,SAJ/2017/5038,07/24/2017,$1535.00,
PO00725602,SAJ/2017/5037,07/24/2017,$239.00,
PO00727861,SAJ/2017/5020,07/24/2017,$1200.00,
PO00724710,SAJ/2017/5019,07/24/2017,$2891.88,
PO00724899,SAJ/2017/5018,07/24/2017,$152.00,
PO00727844,SAJ/2017/5017,07/24/2017,$81.00,
PO00728675,SAJ/2017/5016,07/24/2017,$133.75,
PO00728340,SAJ/2017/5015,07/24/2017,$100.00,
PO00728599,SAJ/2017/5014,07/24/2017,$125.00,
PO00729069,SAJ/2017/5013,07/24/2017,$387.00,
PO00727922,SAJ/2017/5012,07/24/2017,$122.50,
PO00728690,SAJ/2017/5011,07/24/2017,$700.00,
PO00722051,SAJ/2017/5010,07/24/2017,$460.00,
