PO #,Invoice #,Invoice Date,Total Amount
PO00829869,SAJ/2018/10474,01/18/2018,$92.75,
PO00830295,SAJ/2018/10473,01/18/2018,$115.20,
PO00831131,SAJ/2018/10472,01/18/2018,$135.00,
PO00830738,SAJ/2018/10471,01/18/2018,$282.00,
PO00831088,SAJ/2018/10470,01/18/2018,$122.50,
PO00829425,SAJ/2018/10469,01/18/2018,$92.75,
PO00830845,SAJ/2018/10468,01/18/2018,$92.75,
PO00830604,SAJ/2018/10467,01/18/2018,$92.75,
PO00831156,SAJ/2018/10466,01/18/2018,$92.75,
PO00829978,SAJ/2018/10465,01/18/2018,$92.75,
PO00830574,SAJ/2018/10464,01/18/2018,$213.50,
PO00830818,SAJ/2018/10463,01/18/2018,$100.00,
PO00831173,SAJ/2018/10462,01/18/2018,$92.75,
PO00830405,SAJ/2018/10461,01/18/2018,$115.20,
