PO #,Invoice #,Invoice Date,Total Amount
PO00829006,SAJ/2018/10663,01/24/2018,$88.50,
PO00823621,SAJ/2018/10662,01/24/2018,$411.00,
PO00825209,SAJ/2018/10661,01/24/2018,$342.50,
PO00830623,SAJ/2018/10659,01/24/2018,$211.25,
PO00829004,SAJ/2018/10658,01/24/2018,$88.50,
PO00828273,SAJ/2018/10657,01/24/2018,$160.00,
PO00833480,SAJ/2018/10626,01/24/2018,$157.50,
PO00820485,SAJ/2018/10625,01/24/2018,$353.55,
PO00832936,SAJ/2018/10624,01/24/2018,$92.75,
PO00832271,SAJ/2018/10623,01/24/2018,$92.75,
PO00832302,SAJ/2018/10622,01/24/2018,$133.50,
PO00832649,SAJ/2018/10621,01/24/2018,$122.50,
PO00832274,SAJ/2018/10620,01/24/2018,$92.75,
PO00832484,SAJ/2018/10619,01/24/2018,$122.50,
PO00832063,SAJ/2018/10618,01/24/2018,$122.50,
PO00832902,SAJ/2018/10617,01/24/2018,$122.50,
PO00831765,SAJ/2018/10616,01/24/2018,$175.00,
PO00832827,SAJ/2018/10615,01/24/2018,$100.00,
PO00832574,SAJ/2018/10614,01/24/2018,$122.50,
