PO #,Invoice #,Invoice Date,Total Amount
PO00669719,SAJ/2017/1608,04/12/2017,$122.50,
PO00669480,SAJ/2017/1606,04/12/2017,$125.00,
PO00669796,SAJ/2017/1603,04/12/2017,$177.50,
PO00668751,SAJ/2017/1549,04/12/2017,$258.00,
PO00668167,SAJ/2017/1548,04/12/2017,$157.50,
PO00668358,SAJ/2017/1547,04/12/2017,$127.50,
PO00668669,SAJ/2017/1546,04/12/2017,$106.25,
PO00668708,SAJ/2017/1545,04/12/2017,$92.75,
PO00669395,SAJ/2017/1544,04/12/2017,$122.50,
PO00669091,SAJ/2017/1543,04/12/2017,$92.75,
PO00668919,SAJ/2017/1542,04/12/2017,$92.75,
