PO #,Invoice #,Invoice Date,Total Amount
PO00662280,SAJ/2017/1159,03/30/2017,$150.00,
PO00661571,SAJ/2017/1158,03/30/2017,$63.75,
PO00661697,SAJ/2017/1157,03/30/2017,$63.75,
PO00661864,SAJ/2017/1156,03/30/2017,$63.75,
PO00661604,SAJ/2017/1155,03/30/2017,$92.75,
PO00662140,SAJ/2017/1154,03/30/2017,$225.00,
PO00662491,SAJ/2017/1153,03/30/2017,$92.75,
PO00661915,SAJ/2017/1152,03/30/2017,$92.75,
PO00662005,SAJ/2017/1151,03/30/2017,$92.75,
PO00662166,SAJ/2017/1150,03/30/2017,$79.50,
PO00661546,SAJ/2017/1149,03/30/2017,$106.00,
PO00661094,SAJ/2017/1147,03/30/2017,$133.75,
PO00661220,SAJ/2017/1146,03/30/2017,$76.50,
PO00661372,SAJ/2017/1145,03/30/2017,$92.75,
PO00661427,SAJ/2017/1144,03/30/2017,$92.75,
PO00660984,SAJ/2017/1143,03/30/2017,$122.50,
PO00661506,SAJ/2017/1142,03/30/2017,$122.50,
