Customer ID,Customer Name,PO #,Invoice #,Invoice Date,Total Amount
C000000101864,ZORCH INTERNATIONAL INC,po00707370,SAJ/2017/4062,06/19/2017,$18800.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00691852,SAJ/2017/4028,06/19/2017,$942.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00709852,SAJ/2017/4027,06/19/2017,$127.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00710372,SAJ/2017/4026,06/19/2017,$150.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00708862,SAJ/2017/4025,06/19/2017,$306.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00710050,SAJ/2017/4024,06/19/2017,$121.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00709897,SAJ/2017/4023,06/19/2017,$125.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00710595,SAJ/2017/4022,06/19/2017,$122.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00710215,SAJ/2017/4021,06/19/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00710553,SAJ/2017/4020,06/19/2017,$122.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00709823,SAJ/2017/4019,06/19/2017,$122.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00710287,SAJ/2017/4018,06/19/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00710174,SAJ/2017/4017,06/19/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00710578,SAJ/2017/4016,06/19/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00708860,SAJ/2017/4007,06/19/2017,$510.00,
C000000101864,ZORCH INTERNATIONAL INC,,SAJ/2017/4006,06/19/2017,$237.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00709504,SAJ/2017/4001,06/19/2017,$122.50,
