PO #,Invoice #,Invoice Date,Total Amount
PO00692286,SAJ/2017/3114,05/23/2017,$121.50,
PO00693358,SAJ/2017/3113,05/23/2017,$122.50,
PO00693449,SAJ/2017/3112,05/23/2017,$135.00,
PO00689537,SAJ/2017/3111,05/23/2017,$157.50,
PO00692932,SAJ/2017/3110,05/23/2017,$97.50,
PO00693454,SAJ/2017/3109,05/23/2017,$358.50,
PO00693427,SAJ/2017/3084,05/23/2017,$121.50,
PO00694843,SAJ/2017/3055,05/23/2017,$156.00,
PO00694439,SAJ/2017/3054,05/23/2017,$81.00,
PO00693554,SAJ/2017/3053,05/23/2017,$144.00,
PO00694406,SAJ/2017/3052,05/23/2017,$103.50,
PO00687730,SAJ/2017/3051,05/23/2017,$333.45,
PO00688227,SAJ/2017/3050,05/23/2017,$223.75,
PO00693531,SAJ/2017/3049,05/23/2017,$122.50,
PO00694402,SAJ/2017/3048,05/23/2017,$122.50,
PO00694970,SAJ/2017/3045,05/23/2017,$100.00,
PO00694198,SAJ/2017/3038,05/23/2017,$510.00,
PO00690108,SAJ/2017/3037,05/23/2017,$81.00,
PO00692296,SAJ/2017/3036,05/23/2017,$175.00,
PO00694907,SAJ/2017/3035,05/23/2017,$92.75,
PO00694529,SAJ/2017/3034,05/23/2017,$92.75,
