PO #,Invoice #,Invoice Date,Total Amount
PO00708320,SAJ/2017/3927,06/15/2017,$147.50,
PO00708628,SAJ/2017/3926,06/15/2017,$92.75,
PO00708387,SAJ/2017/3925,06/15/2017,$122.50,
PO00708351,SAJ/2017/3924,06/15/2017,$97.50,
,SAJ/2017/3916,06/15/2017,$590.00,
PO00700402,SAJ/2017/3904,06/15/2017,$78.75,
PO00707513,SAJ/2017/3894,06/15/2017,$97.50,
PO00707262,SAJ/2017/3893,06/15/2017,$97.50,
PO00708121,SAJ/2017/3892,06/15/2017,$92.75,
PO00707042,SAJ/2017/3891,06/15/2017,$282.00,
PO00706976,SAJ/2017/3883,06/15/2017,$92.75,
PO00708116,SAJ/2017/3882,06/15/2017,$106.00,
PO00707048,SAJ/2017/3877,06/15/2017,$81.00,
