Customer ID,Customer Name,PO #,Invoice #,Invoice Date,Total Amount
C000000101864,ZORCH INTERNATIONAL INC,PO00702959,SAJ/2017/4541,07/05/2017,$173.25,
C000000101864,ZORCH INTERNATIONAL INC,PO00720958,SAJ/2017/4540,07/05/2017,$206.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00717570,SAJ/2017/4539,07/05/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00717060,SAJ/2017/4538,07/05/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00717060,SAJ/2017/4537,07/05/2017,$96.25,
C000000101864,ZORCH INTERNATIONAL INC,PO00718354,SAJ/2017/4536,07/05/2017,$151.20,
C000000101864,ZORCH INTERNATIONAL INC,PO00718216,SAJ/2017/4535,07/05/2017,$122.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00718247,SAJ/2017/4534,07/05/2017,$122.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00718187,SAJ/2017/4533,07/05/2017,$142.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00717056,SAJ/2017/4532,07/05/2017,$127.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00717934,SAJ/2017/4531,07/05/2017,$237.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00717945,SAJ/2017/4530,07/05/2017,$81.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00718751,SAJ/2017/4529,07/05/2017,$96.25,
