PO #,Invoice#,Invoice_date,Total Amount
PO00652578,Invoice SAJ/2017/0617,03/16/2017,$122.50,
PO00653134,Invoice SAJ/2017/0616,03/16/2017,$157.50,
PO00653527,Invoice SAJ/2017/0615,03/16/2017,$92.75,
PO00653424,Invoice SAJ/2017/0614,03/16/2017,$63.75,
PO00652696,Invoice SAJ/2017/0613,03/16/2017,$147.50,
PO00653325,Invoice SAJ/2017/0612,03/16/2017,$150.00,
PO00653008,Invoice SAJ/2017/0611,03/16/2017,$237.50,
PO00653039,Invoice SAJ/2017/0610,03/16/2017,$135.00,
PO00653718,Invoice SAJ/2017/0609,03/16/2017,$79.50,
PO00653746,Invoice SAJ/2017/0608,03/16/2017,$181.25,
