PO #,Invoice #,Invoice Date,Total Amount
PO00760173,SAJ/2017/7415,10/03/2017,$342.50,
PO00747829,SAJ/2017/7414,10/03/2017,$342.50,
PO00746426,SAJ/2017/7413,10/03/2017,$342.50,
PO00771052,SAJ/2017/7371,10/03/2017,$106.00,
PO00769640,SAJ/2017/7370,10/03/2017,$92.75,
PO00771138,SAJ/2017/7369,10/03/2017,$92.75,
PO00768581,SAJ/2017/7368,10/03/2017,$119.50,
PO00771026,SAJ/2017/7367,10/03/2017,$126.00,
PO00771327,SAJ/2017/7366,10/03/2017,$122.50,
PO00770400,SAJ/2017/7365,10/03/2017,$97.50,
PO00770380,SAJ/2017/7364,10/03/2017,$327.50,
PO00770678,SAJ/2017/7363,10/03/2017,$358.50,
PO00771716,SAJ/2017/7362,10/03/2017,$91.00,
PO00729050,SAJ/2017/7361,10/03/2017,$127.50,
