PO #,Invoice #,Invoice Date,Total Amount
PO00732741,SAJ/2017/5296,08/02/2017,$260.00,
PO00732462,SAJ/2017/5295,08/02/2017,$92.75,
PO00732438,SAJ/2017/5294,08/02/2017,$92.75,
PO00733545,SAJ/2017/5293,08/02/2017,$92.75,
PO00732432,SAJ/2017/5292,08/02/2017,$92.75,
PO00733622,SAJ/2017/5291,08/02/2017,$122.50,
PO00731414,SAJ/2017/5284,08/02/2017,$177.00,
PO00734720,SAJ/2017/5283,08/02/2017,$122.50,
PO00734527,SAJ/2017/5282,08/02/2017,$960.00,
PO00735079,SAJ/2017/5281,08/02/2017,$122.50,
PO00734781,SAJ/2017/5280,08/02/2017,$122.50,
PO00734634,SAJ/2017/5279,08/02/2017,$525.00,
