PO #,Invoice #,Invoice Date,Total Amount
PO00770341,SAJ/2017/8969,11/21/2017,$88.50,
PO00775355,SAJ/2017/8968,11/21/2017,$150.00,
PO00779899,SAJ/2017/8967,11/21/2017,$110.00,
PO00800380,SAJ/2017/8966,11/21/2017,$175.00,
PO00800758,SAJ/2017/8965,11/21/2017,$92.75,
PO00800801,SAJ/2017/8964,11/21/2017,$122.50,
PO00800388,SAJ/2017/8963,11/21/2017,$122.50,
PO00802040,SAJ/2017/8962,11/21/2017,$92.75,
PO00803555,SAJ/2017/8961,11/21/2017,$329.00,
PO00801647,SAJ/2017/8960,11/21/2017,$147.50,
PO00801787,SAJ/2017/8959,11/21/2017,$258.00,
PO00802147,SAJ/2017/8958,11/21/2017,$157.50,
