PO #,Invoice #,Invoice Date,Total Amount
po00655268,SAJ/2017/0957,03/27/2017,$241.00,
PO00658805,SAJ/2017/0956,03/27/2017,$63.75,
PO00658792,SAJ/2017/0955,03/27/2017,$92.75,
PO00659101,SAJ/2017/0954,03/27/2017,$157.50,
PO00656628,SAJ/2017/0953,03/27/2017,$342.50,
PO00656753,SAJ/2017/0952,03/27/2017,$359.00,
PO00656279,SAJ/2017/0951,03/27/2017,$204.00,
PO00656460,SAJ/2017/0950,03/27/2017,$340.00,
PO00658426,SAJ/2017/0949,03/27/2017,$92.75,
po00658169,SAJ/2017/0948,03/27/2017,$185.00,
PO00658488,SAJ/2017/0947,03/27/2017,$122.50,
PO00656654,SAJ/2017/0946,03/27/2017,$154.00,
PO00657932,SAJ/2017/0945,03/27/2017,$63.75,
PO00653103,SAJ/2017/0944,03/27/2017,$92.75,
PO00658645,SAJ/2017/0943,03/27/2017,$92.75,
PO00657975,SAJ/2017/0942,03/27/2017,$63.75,
PO00658021,SAJ/2017/0941,03/27/2017,$157.50,
