PO #,Invoice #,Invoice Date,Total Amount
PO00734049,SAJ/2017/6133,08/28/2017,$342.50,
PO00748171,SAJ/2017/6100,08/28/2017,$512.50,
PO00751687,SAJ/2017/6098,08/28/2017,$398.00,
PO00749639,SAJ/2017/6096,08/28/2017,$106.25,
PO00751397,SAJ/2017/6094,08/28/2017,$348.50,
PO00749221,SAJ/2017/6093,08/28/2017,$147.50,
PO00747533,SAJ/2017/6091,08/28/2017,$133.75,
PO00748099,SAJ/2017/6088,08/28/2017,$135.00,
PO00748931,SAJ/2017/6087,08/28/2017,$92.75,
PO00747938,SAJ/2017/6086,08/28/2017,$92.75,
PO00747576,SAJ/2017/6085,08/28/2017,$122.50,
PO00748977,SAJ/2017/6084,08/28/2017,$260.00,
