PO #,Invoice #,Invoice Date,Total Amount
PO00760495,SAJ/2017/7076,09/26/2017,$88.50,
PO00756085,SAJ/2017/7075,09/26/2017,$342.50,
PO00757040,SAJ/2017/7074,09/26/2017,$342.50,
PO00747126,SAJ/2017/7073,09/26/2017,$342.50,
PO00757097,SAJ/2017/7072,09/26/2017,$411.00,
PO00765935,SAJ/2017/7071,09/26/2017,$133.75,
PO00764962,SAJ/2017/7070,09/26/2017,$92.75,
PO00764697,SAJ/2017/7069,09/26/2017,$92.75,
PO00764144,SAJ/2017/7068,09/26/2017,$92.75,
PO00765790,SAJ/2017/7067,09/26/2017,$77.00,
PO00765216,SAJ/2017/7066,09/26/2017,$92.75,
PO00766018,SAJ/2017/7065,09/26/2017,$126.00,
PO00765086,SAJ/2017/7064,09/26/2017,$120.50,
PO00768103,SAJ/2017/7063,09/26/2017,$597.50,
PO00764366,SAJ/2017/7062,09/26/2017,$157.50,
PO00764291,SAJ/2017/7061,09/26/2017,$215.00,
PO00764901,SAJ/2017/7060,09/26/2017,$138.00,
