PO #,Invoice #,Invoice Date,Total Amount
PO00655762,SAJ/2017/0777,03/20/2017,$237.00,
PO00655319,SAJ/2017/0776,03/20/2017,$135.00,
PO00655105,SAJ/2017/0775,03/20/2017,$418.25,
PO00654287,SAJ/2017/0741,03/20/2017,$122.50,
PO00654347,SAJ/2017/0740,03/20/2017,$92.75,
PO00654904,SAJ/2017/0739,03/20/2017,$122.50,
PO00653990,SAJ/2017/0738,03/20/2017,$122.50,
PO00655268,SAJ/2017/0730,03/20/2017,$241.00,
PO00654981,SAJ/2017/0729,03/20/2017,$135.00,
PO00655821,SAJ/2017/0728,03/20/2017,$237.50,
PO00655357,SAJ/2017/0727,03/20/2017,$122.50,
PO00655213,SAJ/2017/0726,03/20/2017,$92.75,
PO00653706,SAJ/2017/0725,03/20/2017,$157.50,
PO00655930,SAJ/2017/0724,03/20/2017,$192.50,
PO00654371,SAJ/2017/0723,03/20/2017,$121.50,
PO00654453,SAJ/2017/0722,03/20/2017,$185.00,
PO00654153,SAJ/2017/0721,03/20/2017,$115.20,
PO00654234,SAJ/2017/0720,03/20/2017,$63.75,
PO00655852,SAJ/2017/0719,03/20/2017,$63.75,
PO00654477,SAJ/2017/0718,03/20/2017,$135.00,
PO00655593,SAJ/2017/0717,03/20/2017,$102.00,
PO00655781,SAJ/2017/0716,03/20/2017,$127.50,
