PO #,Invoice #,Invoice Date,Total Amount
PO00795546,SAJ/2017/8734,11/10/2017,$127.50,
PO00795418,SAJ/2017/8733,11/10/2017,$97.50,
PO00795521,SAJ/2017/8732,11/10/2017,$115.20,
PO00794558,SAJ/2017/8702,11/10/2017,$969.00,
PO00794971,SAJ/2017/8701,11/10/2017,$118.08,
PO00795149,SAJ/2017/8700,11/10/2017,$167.00,
PO00795616,SAJ/2017/8699,11/10/2017,$92.75,
PO00794963,SAJ/2017/8698,11/10/2017,$92.75,
PO00794791,SAJ/2017/8697,11/10/2017,$106.25,
PO00795263,SAJ/2017/8696,11/10/2017,$126.00,
PO00795255,SAJ/2017/8695,11/10/2017,$132.50,
PO00794614,SAJ/2017/8694,11/10/2017,$280.00,
