PO #,Invoice #,Invoice Date,Total Amount
PO00729662,SAJ/2017/5090,07/25/2017,$97.50,
PO00729743,SAJ/2017/5089,07/25/2017,$92.75,
PO00728890,SAJ/2017/5088,07/25/2017,$92.75,
PO00729344,SAJ/2017/5087,07/25/2017,$130.00,
PO00729856,SAJ/2017/5086,07/25/2017,$92.75,
PO00728443,SAJ/2017/5085,07/25/2017,$92.75,
PO00729570,SAJ/2017/5084,07/25/2017,$122.50,
PO00730179,SAJ/2017/5083,07/25/2017,$237.50,
PO00728660,SAJ/2017/5082,07/25/2017,$122.50,
PO00729838,SAJ/2017/5081,07/25/2017,$92.75,
PO00726638,SAJ/2017/5080,07/25/2017,$97.50,
