PO #,Invoice #,Invoice Date,Total Amount
PO00686794,SAJ/2017/8377,10/31/2017,$295.00,
PO00788353,SAJ/2017/8372,10/31/2017,$92.75,
PO00787761,SAJ/2017/8343,10/31/2017,$91.00,
PO00787823,SAJ/2017/8342,10/31/2017,$126.00,
PO00786547,SAJ/2017/8341,10/31/2017,$159.00,
PO00787821,SAJ/2017/8340,10/31/2017,$126.00,
PO00788881,SAJ/2017/8339,10/31/2017,$200.00,
PO00787706,SAJ/2017/8338,10/31/2017,$122.50,
PO00787668,SAJ/2017/8337,10/31/2017,$195.00,
PO00787156,SAJ/2017/8336,10/31/2017,$92.75,
PO00789665,SAJ/2017/8335,10/31/2017,$229.10,
PO00788938,SAJ/2017/8334,10/31/2017,$100.00,
PO00787884,SAJ/2017/8333,10/31/2017,$175.00,
PO00789361,SAJ/2017/8332,10/31/2017,$125.00,
