Customer ID,Customer Name,PO #,Invoice #,Invoice Date,Total Amount
C000000101864,ZORCH INTERNATIONAL INC,PO00719643,SAJ/2017/4594,07/10/2017,$195.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00719586,SAJ/2017/4593,07/10/2017,$97.50,
C000000101864,ZORCH INTERNATIONAL INC,PO00699381reprint,SAJ/2017/4592,07/10/2017,$112.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00719943,SAJ/2017/4590,07/10/2017,$175.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00719066,SAJ/2017/4589,07/10/2017,$260.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00722722,SAJ/2017/4588,07/10/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00707832,SAJ/2017/4586,07/10/2017,$206.25,
C000000101864,ZORCH INTERNATIONAL INC,PO00719067,SAJ/2017/4584,07/10/2017,$92.75,
C000000101864,ZORCH INTERNATIONAL INC,PO00714992,SAJ/2017/4583,07/10/2017,$685.00,
C000000101864,ZORCH INTERNATIONAL INC,PO00719388,SAJ/2017/4582,07/10/2017,$92.75,
