PO #,Invoice #,Invoice Date,Total Amount
PO00831598,SAJ/2018/10406,01/17/2018,$77.00,
PO00828843,SAJ/2018/10405,01/17/2018,$97.50,
PO00829188,SAJ/2018/10404,01/17/2018,$97.50,
PO00830415,SAJ/2018/10403,01/17/2018,$118.08,
PO00827425,SAJ/2018/10402,01/17/2018,$118.08,
PO00828472,SAJ/2018/10401,01/17/2018,$358.50,
PO00827741,SAJ/2018/10400,01/17/2018,$92.75,
PO00829169,SAJ/2018/10399,01/17/2018,$92.75,
PO00828933,SAJ/2018/10398,01/17/2018,$92.75,
PO00829181,SAJ/2018/10397,01/17/2018,$122.50,
PO00829369,SAJ/2018/10396,01/17/2018,$659.00,
PO00828623,SAJ/2018/10395,01/17/2018,$204.00,
PO00829594,SAJ/2018/10394,01/17/2018,$127.50,
