PO #,Invoice #,Invoice Date,Total Amount
PO00664995,SAJ/2017/2066,04/24/2017,$342.50,
PO00655173,SAJ/2017/2035,04/24/2017,$230.40,
PO00668269,SAJ/2017/2025,04/24/2017,$472.00,
PO00671005,SAJ/2017/2018,04/24/2017,$195.00,
PO00674624,SAJ/2017/2007,04/24/2017,$122.50,
PO00675013,SAJ/2017/2006,04/24/2017,$102.00,
PO00675053,SAJ/2017/2005,04/24/2017,$92.75,
PO00674394,SAJ/2017/2004,04/24/2017,$122.50,
PO00674211,SAJ/2017/2003,04/24/2017,$122.50,
PO00673170,SAJ/2017/2002,04/24/2017,$121.50,
PO00673042,SAJ/2017/2001,04/24/2017,$185.00,
PO00674696,SAJ/2017/2000,04/24/2017,$215.00,
PO00674906,SAJ/2017/1999,04/24/2017,$135.00,
PO00674850,SAJ/2017/1998,04/24/2017,$239.00,
PO00675971,SAJ/2017/1997,04/24/2017,$125.00,
PO00675068,SAJ/2017/1996,04/24/2017,$133.75,
PO00675096,SAJ/2017/1995,04/24/2017,$77.00,
