PO #,Invoice #,Invoice Date,Total Amount
PO00696550,SAJ/2017/3538,06/05/2017,$175.00,
PO00686360,SAJ/2017/3531,06/05/2017,$175.00,
PO00697994,SAJ/2017/3530,06/05/2017,$122.50,
PO00700282,SAJ/2017/3529,06/05/2017,$92.75,
PO00694537,SAJ/2017/3528,06/05/2017,$92.75,
PO00702260,SAJ/2017/3527,06/05/2017,$100.00,
PO00692022,SAJ/2017/3526,06/05/2017,$92.75,
PO00695606,SAJ/2017/3525,06/05/2017,$122.50,
PO00696263,SAJ/2017/3524,06/05/2017,$92.75,
PO00701380,SAJ/2017/3510,06/05/2017,$97.50,
PO00700432,SAJ/2017/3507,06/05/2017,$232.50,
PO00690925,SAJ/2017/3506,06/05/2017,$96.25,
PO00695502,SAJ/2017/3505,06/05/2017,$92.75,
PO00694627,SAJ/2017/3504,06/05/2017,$92.75,
